# SCC66470 QFP-120 Complete Pin Table
# Philips/NXP CD-i Video Processor
# Package: QFP-120 (SOT220B)

PIN | SIGNAL      | TYPE | POL | DRIVE | FUNCTION
# - Video outputs (V0-V7, PCLK, etc.) are 3-state for display disable
# 
# Pin Count Summary:
#   Total pins: 120
#   - Signal pins: 105
#   - VDD (power): 8 pins (15, 47, 76, 90, 95, 104, 120)
#   - VSS (ground): 7 pins (1, 17, 31, 45, 74, 96, 106)
#
# Critical Design Notes:
#   - Pin 37 (DTACK) and Pin 54 (INT) are OPEN-DRAIN: Must add 4.7kΩ pull-up to VDD
#   - Pin 58 (RSTIN) has internal pull-up, Schmitt trigger input
#   - Pin 56 (CSYNC) has internal pull-up
#   - All bidirectional buses (D, MD, MA) must be properly terminated for signal integrity

