# SCC68070 QFP-120 Complete Pin Table
# Philips/NXP CD-i Microprocessor
# Package: QFP-120
#
# Column definitions:
#   PIN      - Physical pin number on the package
#   SIGNAL   - Signal name
#   TYPE     - I=Input, O=Output, I/O=Bidirectional, PWR=Power/Ground, NC=No Connect
#   POL      - H=Active HIGH, L=Active LOW, -=Not applicable
#   DRIVE    - PP=Push-Pull, 3S=3-State, OD=Open-Drain, -=Not applicable
#   FUNCTION - Signal description

PIN | SIGNAL      | TYPE | POL | DRIVE | CONTROL    | FUNCTION
113 | D2          | I/O  | H   | 3S    | DATA       | Data bus bit 2 (3-state, bidirectional)
114 | D1          | I/O  | H   | 3S    | DATA       | Data bus bit 1 (3-state, bidirectional)
115 | D0          | I/O  | H   | 3S    | DATA       | Data bus bit 0 (3-state, bidirectional)
116 | BG          | O    | L   | PP    | DMA        | Bus Grant (active LOW, daisy chain)
117 | BGACK       | I/O  | L   | OD    | DMA        | Bus Grant Acknowledge (active LOW, open drain)
118 | BR          | I    | L   | -     | DMA        | Bus Request (active LOW, wired-OR)
119 | REQ1        | I    | L   | -     | DMA        | DMA Request 1 (active LOW)
120 | NC          | NC   | -   | -     | NC         | No connect - do not use

# Pin Statistics:
# ================
# Total pins:     120
# Signal pins:    80
# Power (VDD):    4 pins (45, 46, 105, 106)
# Ground (VSS):   4 pins (16, 17, 75, 76)
# Reserved:       8 pins (12, 52, 58, 70, 93, 99, 107, 108)
# No Connect:     24 pins (1-5, 27-31, 43-44, 60-64, 86-91, 120)
#
# Special Notes:
# ==============
# - All pins designated 'NC' or 'RESERVED' must not be connected externally (per datasheet)
# - Open-drain pins requiring external pull-up resistors (4.7kΩ recommended):
#   * DONE (pin 9)
#   * DTC (pin 10)
#   * BERR (pin 21)
#   * HALT (pin 22)
#   * RESET (pin 23)
#   * SDA (pin 92)
#   * SCL (pin 94)
#   * BGACK (pin 117)
# - Address bus: A1-A23 (23 address lines = 16MB address space)
# - Data bus: D0-D15 (16-bit data bus)
# - All active-LOW signals (POL=L) will have overline notation in KiCad symbols
# - 3-State outputs can be disabled during bus arbitration
#
# Consistency Checks:
# ===================
# ✓ All 120 pins accounted for
# ✓ No duplicate pin numbers
# ✓ Address bus complete: A1-A23 (pins 32-65 with gaps for NC/RESERVED)
# ✓ Data bus complete: D0-D15 (pins 95-115 with gaps for NC/RESERVED)
# ✓ Power pins: 4 VDD + 4 VSS = 8 total
# ✓ All open-drain signals identified
# ✓ All active-LOW signals marked with POL=L
